Genre,North America,Europe,Japan,Rest of World
Action,48.15,57.53,10.27,20.76
Action-Adventure,22.3,27.79,1.96,9.83
Adventure,5.2700000000000005,6.08,1.6400000000000001,2.23
Fighting,8.58,6.1899999999999995,1.67,2.98
MMO,1.32,1.45,0.2,0.55
Misc,3.64,6.029999999999999,0.96,1.85
Music,2.4,1.62,0.17,0.8400000000000001
Party,0.09,0.47,0.0,0.09999999999999999
Platform,5.48,8.92,0.67,2.77
Puzzle,0.28,0.16,0.0,0.1
Racing,5.86,14.77,0.76,3.81
Role-Playing,22.15,22.4,9.42,8.91
Shooter,50.5,58.64,4.42,21.48
Simulation,1.47,2.07,0.28,0.7100000000000001
Sports,33.31,42.81,1.83,14.9
Strategy,0.57,0.22,0.33999999999999997,0.17
Visual Novel,0.2,0.02,0.19,0.05
